Omega0 = 0.300000; OmegaLambda = 0.700000
0.001 999.000 5.37780e+05
0.002 499.000 1.52107e+06
0.003 332.333 2.79439e+06
0.004 249.000 4.30224e+06
0.005 199.000 6.01256e+06
0.006 165.667 7.90371e+06
0.007 141.857 9.95982e+06
0.008 124.000 1.21686e+07
0.009 110.111 1.45200e+07
0.010 99.000 1.70061e+07
0.011 89.909 1.96197e+07
0.012 82.333 2.23551e+07
0.013 75.923 2.52069e+07
0.014 70.429 2.81706e+07
0.015 65.667 3.12421e+07
0.016 61.500 3.44178e+07
0.017 57.824 3.76944e+07
0.018 54.556 4.10688e+07
0.019 51.632 4.45383e+07
0.020 49.000 4.81003e+07
0.021 46.619 5.17526e+07
0.022 44.455 5.54928e+07
0.023 42.478 5.93190e+07
0.024 40.667 6.32294e+07
0.025 39.000 6.72221e+07
0.026 37.462 7.12954e+07
0.027 36.037 7.54478e+07
0.028 34.714 7.96779e+07
0.029 33.483 8.39841e+07
0.030 32.333 8.83653e+07
0.031 31.258 9.28201e+07
0.032 30.250 9.73473e+07
0.033 29.303 1.01946e+08
0.034 28.412 1.06614e+08
0.035 27.571 1.11352e+08
0.036 26.778 1.16158e+08
0.037 26.027 1.21032e+08
0.038 25.316 1.25971e+08
0.039 24.641 1.30976e+08
0.040 24.000 1.36045e+08
0.041 23.390 1.41178e+08
0.042 22.810 1.46375e+08
0.043 22.256 1.51633e+08
0.044 21.727 1.56953e+08
0.045 21.222 1.62333e+08
0.046 20.739 1.67774e+08
0.047 20.277 1.73274e+08
0.048 19.833 1.78833e+08
0.049 19.408 1.84450e+08
0.050 19.000 1.90125e+08
0.051 18.608 1.95856e+08
0.052 18.231 2.01644e+08
0.053 17.868 2.07488e+08
0.054 17.519 2.13387e+08
0.055 17.182 2.19341e+08
0.056 16.857 2.25350e+08
0.057 16.544 2.31412e+08
0.058 16.241 2.37527e+08
0.059 15.949 2.43696e+08
0.060 15.667 2.49916e+08
0.061 15.393 2.56189e+08
0.062 15.129 2.62514e+08
0.063 14.873 2.68889e+08
0.064 14.625 2.75315e+08
0.065 14.385 2.81792e+08
0.066 14.152 2.88318e+08
0.067 13.925 2.94894e+08
0.068 13.706 3.01519e+08
0.069 13.493 3.08193e+08
0.070 13.286 3.14915e+08
0.071 13.085 3.21686e+08
0.072 12.889 3.28504e+08
0.073 12.699 3.35369e+08
0.074 12.514 3.42282e+08
0.075 12.333 3.49241e+08
0.076 12.158 3.56247e+08
0.077 11.987 3.63298e+08
0.078 11.821 3.70396e+08
0.079 11.658 3.77539e+08
0.080 11.500 3.84727e+08
0.081 11.346 3.91960e+08
0.082 11.195 3.99238e+08
0.083 11.048 4.06560e+08
0.084 10.905 4.13927e+08
0.085 10.765 4.21337e+08
0.086 10.628 4.28790e+08
0.087 10.494 4.36287e+08
0.088 10.364 4.43827e+08
0.089 10.236 4.51409e+08
0.090 10.111 4.59034e+08
0.091  9.989 4.66702e+08
0.092  9.870 4.74411e+08
0.093  9.753 4.82162e+08
0.094  9.638 4.89955e+08
0.095  9.526 4.97789e+08
0.096  9.417 5.05664e+08
0.097  9.309 5.13580e+08
0.098  9.204 5.21536e+08
0.099  9.101 5.29534e+08
0.100  9.000 5.37571e+08
0.101  8.901 5.45648e+08
0.102  8.804 5.53765e+08
0.103  8.709 5.61922e+08
0.104  8.615 5.70118e+08
0.105  8.524 5.78353e+08
0.106  8.434 5.86627e+08
0.107  8.346 5.94940e+08
0.108  8.259 6.03292e+08
0.109  8.174 6.11682e+08
0.110  8.091 6.20110e+08
0.111  8.009 6.28577e+08
0.112  7.929 6.37081e+08
0.113  7.850 6.45623e+08
0.114  7.772 6.54202e+08
0.115  7.696 6.62819e+08
0.116  7.621 6.71472e+08
0.117  7.547 6.80163e+08
0.118  7.475 6.88891e+08
0.119  7.403 6.97655e+08
0.120  7.333 7.06456e+08
0.121  7.264 7.15293e+08
0.122  7.197 7.24166e+08
0.123  7.130 7.33075e+08
0.124  7.065 7.42020e+08
0.125  7.000 7.51000e+08
0.126  6.937 7.60016e+08
0.127  6.874 7.69068e+08
0.128  6.812 7.78154e+08
0.129  6.752 7.87276e+08
0.130  6.692 7.96433e+08
0.131  6.634 8.05624e+08
0.132  6.576 8.14850e+08
0.133  6.519 8.24110e+08
0.134  6.463 8.33405e+08
0.135  6.407 8.42734e+08
0.136  6.353 8.52097e+08
0.137  6.299 8.61493e+08
0.138  6.246 8.70924e+08
0.139  6.194 8.80388e+08
0.140  6.143 8.89885e+08
0.141  6.092 8.99416e+08
0.142  6.042 9.08980e+08
0.143  5.993 9.18578e+08
0.144  5.944 9.28208e+08
0.145  5.897 9.37870e+08
0.146  5.849 9.47566e+08
0.147  5.803 9.57294e+08
0.148  5.757 9.67055e+08
0.149  5.711 9.76847e+08
0.150  5.667 9.86672e+08
0.151  5.623 9.96529e+08
0.152  5.579 1.00642e+09
0.153  5.536 1.01634e+09
0.154  5.494 1.02629e+09
0.155  5.452 1.03627e+09
0.156  5.410 1.04629e+09
0.157  5.369 1.05634e+09
0.158  5.329 1.06641e+09
0.159  5.289 1.07652e+09
0.160  5.250 1.08666e+09
0.161  5.211 1.09683e+09
0.162  5.173 1.10704e+09
0.163  5.135 1.11727e+09
0.164  5.098 1.12753e+09
0.165  5.061 1.13782e+09
0.166  5.024 1.14815e+09
0.167  4.988 1.15850e+09
0.168  4.952 1.16888e+09
0.169  4.917 1.17930e+09
0.170  4.882 1.18974e+09
0.171  4.848 1.20021e+09
0.172  4.814 1.21071e+09
0.173  4.780 1.22125e+09
0.174  4.747 1.23181e+09
0.175  4.714 1.24240e+09
0.176  4.682 1.25302e+09
0.177  4.650 1.26367e+09
0.178  4.618 1.27434e+09
0.179  4.587 1.28505e+09
0.180  4.556 1.29579e+09
0.181  4.525 1.30655e+09
